Alpha,nH,Cost,Iterations,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test Support,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Train Support
1e-06,"[5, 15]",33796.54777798079,5000,0.4551940142683139,0.330648074231697,0.4551940142683139,0.3161286919639708,5747.0,0.45388898555768226,0.36731013690904446,0.45388898555768226,0.3156389376563709,22988.0
1e-05,"[5, 15]",28418.861618145707,5000,0.5060031320689056,0.44740755786074843,0.5060031320689056,0.41867932212674797,5747.0,0.5025665564642422,0.40252915344406365,0.5025665564642422,0.41265331596894567,22988.0
0.0001,"[5, 15]",45321.923061891845,5000,0.34052549156081435,0.11971103359578517,0.34052549156081435,0.17646246380847225,5747.0,0.3352183748042457,0.11580766562406632,0.3352183748042457,0.17156295714067896,22988.0
1e-06,"[10, 20]",31838.711298575196,5000,0.49973899425787366,0.40894989434055806,0.49973899425787366,0.4117089924253344,5747.0,0.49138681050983124,0.3917962726533281,0.49138681050983124,0.40120760924170784,22988.0
1e-05,"[10, 20]",28424.865232986438,5000,0.5077431703497477,0.4100057222154816,0.5077431703497477,0.42355362408131364,5747.0,0.4996084913868105,0.4070432174974098,0.4996084913868105,0.4138684459592603,22988.0
0.0001,"[10, 20]",45266.50691623055,5000,0.34052549156081435,0.11960267866940226,0.34052549156081435,0.17644376609374363,5747.0,0.3350008700191404,0.11560226785812598,0.3350008700191404,0.1714265545972422,22988.0
1e-06,"[20, 80]",29090.42111811077,5000,0.5002610057421263,0.3711295388415732,0.5002610057421263,0.402428630694947,5747.0,0.49538889855576823,0.36348232340853603,0.49538889855576823,0.3964009080540385,22988.0
1e-05,"[20, 80]",28419.874182368727,5000,0.5020010440229685,0.40358395506702666,0.5020010440229685,0.41116039423896944,5747.0,0.49986949712893686,0.3962906288839473,0.49986949712893686,0.4079408297530654,22988.0
0.0001,"[20, 80]",45308.65280605654,5000,0.34052549156081435,0.11963599687917026,0.34052549156081435,0.1764912276373759,5747.0,0.33495736906211937,0.11559735276782311,0.33495736906211937,0.17144538811880966,22988.0
1e-06,"[15, 5]",33889.80014969428,5000,0.45484600661214547,0.27806207301735825,0.45484600661214547,0.32709643592627047,5747.0,0.45380198364364016,0.28908951701498875,0.45380198364364016,0.3279552752332887,22988.0
1e-05,"[15, 5]",28965.50165572767,5000,0.5020010440229685,0.39917274594198876,0.5020010440229685,0.40877970514696266,5747.0,0.49786845310596833,0.3905857451935431,0.49786845310596833,0.40387643336815465,22988.0
0.0001,"[15, 5]",45334.53226526328,5000,0.34069949538889854,0.11990667271935133,0.34069949538889854,0.17628104583517046,5747.0,0.33582738820254043,0.11636379711180907,0.33582738820254043,0.17189681575613408,22988.0
1e-06,"[6, 10, 15]",32498.60108122904,5000,0.49086479902557856,0.3607199178857378,0.49086479902557856,0.3913150250440278,5747.0,0.4837741430311467,0.3483887503054374,0.4837741430311467,0.38214836767656807,22988.0
1e-05,"[6, 10, 15]",30560.834174988984,5000,0.48007656168435703,0.369264385005462,0.48007656168435703,0.38696411227288835,5747.0,0.47864103010266223,0.366249739821716,0.47864103010266223,0.38509066170640394,22988.0
0.0001,"[6, 10, 15]",45351.031111972,5000,0.34069949538889854,0.11992500780147725,0.34069949538889854,0.17648681051959905,5747.0,0.3356098834174352,0.11616927815158219,0.3356098834174352,0.17178587361917907,22988.0
1e-06,"[50, 50, 50]",28046.130530106268,5000,0.5260135722985906,0.42685449700257927,0.5260135722985906,0.45245021986904005,5747.0,0.5158343483556638,0.41251239446206955,0.5158343483556638,0.4409668591560736,22988.0
1e-05,"[50, 50, 50]",28473.180088058263,5000,0.508787193318253,0.4178372731845862,0.508787193318253,0.4201768237590156,5747.0,0.5028275622063686,0.39943367053849893,0.5028275622063686,0.41270113667918057,22988.0
0.0001,"[50, 50, 50]",46255.002226226345,5000,0.3424395336697407,0.12075177210495823,0.3424395336697407,0.17808544914198288,5747.0,0.33582738820254043,0.11604841889548914,0.33582738820254043,0.1722179023589302,22988.0
