Alpha,nH,Cost,Iterations,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test Support,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Train Support
1e-06,1,48396.87992742365,5000,0.3292152427353402,0.11226476622773472,0.3292152427353402,0.1674335032795614,5747.0,0.32369062119366626,0.10861612142567399,0.32369062119366626,0.16265311802865332,22988.0
1e-05,1,45956.96324742431,5000,0.3408734992169828,0.1165536981252332,0.3408734992169828,0.17368025610733476,5747.0,0.33495736906211937,0.11269281783225775,0.33495736906211937,0.16857846009008018,22988.0
0.0001,1,45258.11769527176,5000,0.3408734992169828,0.1165536981252332,0.3408734992169828,0.17368025610733476,5747.0,0.33495736906211937,0.11269281783225775,0.33495736906211937,0.16857846009008018,22988.0
1e-06,2,37779.239649514486,5000,0.448059857316861,0.23212077310869064,0.448059857316861,0.29872232680130434,5747.0,0.44492778841134506,0.22846137514496478,0.44492778841134506,0.29498648308569575,22988.0
1e-05,2,31021.623066318964,5000,0.4713763702801462,0.3510212298171413,0.4713763702801462,0.3479584301441191,5747.0,0.46898381764398817,0.3464985511647136,0.46898381764398817,0.3454210428141805,22988.0
0.0001,2,45285.05297852845,5000,0.3408734992169828,0.1165536981252332,0.3408734992169828,0.17368025610733476,5747.0,0.33495736906211937,0.11269281783225775,0.33495736906211937,0.16857846009008018,22988.0
1e-06,5,36371.24245805486,5000,0.4844266573864625,0.38335970112917817,0.4844266573864625,0.3721807996861177,5747.0,0.4782930224464938,0.37342142294636704,0.4782930224464938,0.36530336591675594,22988.0
1e-05,5,28714.427310561725,5000,0.5044370976161475,0.41342224075561795,0.5044370976161475,0.41551708890451233,5747.0,0.5006090133982948,0.4041959469667591,0.5006090133982948,0.41053264472799644,22988.0
0.0001,5,47566.355999592924,5000,0.14546720027840612,0.026036395025244945,0.14546720027840612,0.04047682543004161,5747.0,0.1394640682095006,0.024108755638559118,0.1394640682095006,0.0378784733010552,22988.0
1e-06,10,32982.46045317876,5000,0.47990255785627284,0.3507131969654428,0.47990255785627284,0.37143524303141146,5747.0,0.473638420045241,0.33217042096216076,0.473638420045241,0.3640628660876813,22988.0
1e-05,10,28243.567089982385,5000,0.5101792239429267,0.41338528714509426,0.5101792239429267,0.42586711565738483,5747.0,0.5060901339829477,0.40679517675135407,0.5060901339829477,0.42046325689789615,22988.0
0.0001,10,49830.91346515603,5000,0.1442491734818166,0.025011766200785067,0.1442491734818166,0.04047404685417224,5747.0,0.13828954236993213,0.022925323435052693,0.13828954236993213,0.03741230212474583,22988.0
1e-06,15,31786.34594665691,5000,0.5026970593353054,0.3719502617146547,0.5026970593353054,0.4050282231999869,5747.0,0.4981729598051157,0.3637089642952408,0.4981729598051157,0.3987937607578523,22988.0
1e-05,15,28393.1908459371,5000,0.5100052201148425,0.4187319498394323,0.5100052201148425,0.42326849313890036,5747.0,0.5036540803897686,0.40123607360988467,0.5036540803897686,0.41580164415262055,22988.0
0.0001,15,45585.367649015854,5000,0.34052549156081435,0.11961856307629394,0.34052549156081435,0.1764884930409096,5747.0,0.33495736906211937,0.115593144425004,0.33495736906211937,0.17144436951899567,22988.0
1e-06,20,30744.163532528317,5000,0.5053071167565687,0.466935830356434,0.5053071167565687,0.4085455833786318,5747.0,0.5010005220114843,0.4460418817511314,0.5010005220114843,0.40281926839521054,22988.0
1e-05,20,28454.258565359614,5000,0.5093092048025056,0.4185776297102027,0.5093092048025056,0.4231504267791984,5747.0,0.5036105794327476,0.4014752490407996,0.5036105794327476,0.41545128969143724,22988.0
0.0001,20,71600.61023057072,5000,0.34052549156081435,0.11970107605317461,0.34052549156081435,0.17641254936356646,5747.0,0.3352183748042457,0.11581745981908696,0.3352183748042457,0.17155365834447184,22988.0
1e-06,25,30407.422501609828,5000,0.5061771358969898,0.3706945307497305,0.5061771358969898,0.4080200338798729,5747.0,0.5013920306246737,0.3648621981330983,0.5013920306246737,0.40273709380845096,22988.0
